atlas,system,api_name,api_url,called_by,functional,method
Guatemala,records,records_counts,https://snib.conap.gob.gt/registros-ws/occurrences/search,atlas_counts,TRUE,GET
Guatemala,records,records_facets,https://snib.conap.gob.gt/registros-ws/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
Guatemala,records,records_fields,https://snib.conap.gob.gt/registros-ws/index/fields,show_all-fields,TRUE,GET
Guatemala,records,records_occurrences,https://snib.conap.gob.gt/registros-ws/occurrences/offline/download,atlas_occurrences,TRUE,GET
Guatemala,records,records_query,https://snib.conap.gob.gt/registros-ws/webportal/params,atlas_occurrences,TRUE,GET
Guatemala,records,records_species,https://snib.conap.gob.gt/registros-ws/occurrences/facets/download,atlas_species,TRUE,GET
Guatemala,spatial,spatial_layers,https://geoespacial.snib.conap.gob.gt/ws/layers,show_all-fields,TRUE,GET
Guatemala,species,names_search_single,https://snib.conap.gob.gt/especies-ws/search?q={name}&pageSize=5,search_taxa,TRUE,GET
Guatemala,species,species_children,https://snib.conap.gob.gt/especies-ws/childConcepts/,atlas_taxonomy,TRUE,GET
Guatemala,species,species_lookup,https://snib.conap.gob.gt/especies-ws/species,atlas_taxonomy,TRUE,GET
Portugal,records,records_occurrences,https://registos-ws.gbif.pt/occurrences/offline/download,atlas_occurrences,FALSE,GET
Portugal,records,records_counts,https://registos-ws.gbif.pt/occurrences/search,atlas_counts,TRUE,GET
Portugal,records,records_facets,https://registos-ws.gbif.pt/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
Portugal,records,records_species,https://registos-ws.gbif.pt/occurrences/facets/download,atlas_species,TRUE,GET
Portugal,records,records_assertions,https://registos-ws.gbif.pt/assertions/codes,show_all-assertions,TRUE,GET
Portugal,collections,collections_collections,https://metadados.gbif.pt/ws/collection,show_all-collections,TRUE,GET
Portugal,collections,collections_datasets,https://metadados.gbif.pt/ws/dataResource,show_all-datasets,TRUE,GET
Portugal,records,records_fields,https://registos-ws.gbif.pt/index/fields,show_all-fields,TRUE,GET
Portugal,images,image_licences,https://imagens.gbif.pt/ws/licence,show_all-licences,TRUE,GET
Portugal,images,image_metadata,https://imagens.gbif.pt/ws/imageInfoForList,media_metadata,TRUE,POST
Portugal,collections,collections_providers,	https://metadados.gbif.pt/ws/dataProvider,show_all-providers,TRUE,GET
Portugal,logger,logger_reasons,https://logger.gbif.pt/service/logger/reasons,show_all-reasons,TRUE,GET
Portugal,name-matching,names_search_single,https://api.gbif.org/v1/species/match?verbose=FALSE&name={name},search_taxa,TRUE,GET
Portugal,species,species_children,https://api.gbif.org/v1/species/{id}/children,atlas_taxonomy,TRUE,GET
Spain,collections,collections_collections,https://colecciones.gbif.es/ws/collection,show_all-collections,TRUE,GET
Spain,collections,collections_datasets,https://colecciones.gbif.es/ws/dataResource,show_all-datasets,TRUE,GET
Spain,collections,collections_providers,https://colecciones.gbif.es/ws/dataProvider,show_all-providers,TRUE,GET
Spain,doi,doi_download,https://doi.gbif.es/doi/{doi_string}/download,doi_download,TRUE,GET
Spain,images,image_licences,https://imagenes.gbif.es/ws/licence,show_all-licences,TRUE,GET
Spain,images,image_metadata,https://imagenes.gbif.es/ws/image/,media_metadata,FALSE,GET
Spain,lists,lists_all,https://listas.gbif.es/ws/speciesList,show_all-lists,TRUE,GET
Spain,lists,lists_lookup,https://listas.gbif.es/ws/speciesListItems/{list_id},show_values-lists,TRUE,GET
